"","PMeco","lyr_top","lyr_bot","lyr_soc"
"1","ANpp",0,10,4.97216452465963
"2","ANpp",10,20,3.7960616223514
"3","ANpp",20,30,3.68135928043687
"4","ANpp",0,10,5.41806975006098
"5","ANpp",10,20,3.28914881753
"6","ANpp",20,30,2.78547002716048
"7","ANpp",0,10,5.48783526969029
"8","ANpp",10,20,3.64318444112039
"9","ANpp",20,30,1.6104259447931
"10","ANrf",0,10,8.30405001187117
"11","ANrf",10,20,7.85975119761611
"12","ANrf",20,30,5.17191235868899
"13","ANrf",0,10,11.6218559358146
"14","ANrf",10,20,5.61893935188761
"15","ANrf",20,30,4.26711081226677
"16","ANrf",0,10,11.5007563649886
"17","ANrf",10,20,8.53533880908091
"18","ANrf",20,30,3.77738504775814
"19","ANwf",0,10,5.55373736952774
"20","ANwf",10,20,4.15469830855048
"21","ANwf",20,30,3.67317052459395
"22","ANwf",0,10,5.41141079679835
"23","ANwf",10,20,5.53529034152926
"24","ANwf",20,30,4.5288918136047
"25","ANwf",0,10,5.84201886233759
"26","ANwf",10,20,5.64002513753474
"27","ANwf",20,30,4.49662800749297
"28","BSpp",0,10,4.03406737322924
"29","BSpp",10,20,3.10792708713577
"30","BSpp",20,30,1.17229276601864
"31","BSpp",0,10,3.49239754070835
"32","BSpp",10,20,1.9596012831226
"33","BSpp",20,30,1.19163075233942
"34","BSpp",0,10,2.41239251535535
"35","BSpp",10,20,2.88688201598804
"36","BSpp",20,30,1.63588258649527
"37","BSrf",0,10,3.04471213699621
"38","BSrf",10,20,1.40748555120183
"39","BSrf",20,30,1.36851831620401
"40","BSrf",0,10,0.902771237875977
"41","BSrf",10,20,1.16144009141479
"42","BSrf",20,30,1.72012941890486
"43","BSrf",0,10,2.46355689319596
"44","BSrf",10,20,1.00382887472165
"45","BSrf",20,30,1.36713585412556
"46","BSwf",0,10,5.11230764865875
"47","BSwf",10,20,2.51292383909225
"48","BSwf",20,30,1.66527322530746
"49","BSwf",0,10,4.29412972927094
"50","BSwf",10,20,2.5058828663826
"51","BSwf",20,30,1.81461921215057
"52","BSwf",0,10,5.96347853660584
"53","BSwf",10,20,2.451674888134
"54","BSwf",20,30,1.65493828177452
"55","GRpp",0,10,9.18798887626173
"56","GRpp",10,20,4.54950025272796
"57","GRpp",20,30,2.81532691206142
"58","GRpp",0,10,3.40474102543601
"59","GRpp",10,20,2.27766096873232
"60","GRpp",20,30,0.700890078886592
"61","GRpp",0,10,3.14445841281208
"62","GRpp",10,20,8.34158219135126
"63","GRpp",20,30,1.57325204389093
"64","GRrf",0,10,4.74841328127654
"65","GRrf",10,20,1.68975017003604
"66","GRrf",20,30,1.07620420581797
"67","GRrf",0,10,5.18009687337263
"68","GRrf",10,20,1.23740358118242
"69","GRrf",20,30,0.677071504569635
"70","GRrf",0,10,1.54199862190555
"71","GRrf",10,20,0.877453990356198
"72","GRrf",20,30,0.83164605044786
"73","GRwf",0,10,1.34617908573398
"74","GRwf",10,20,0.49859483334222
"75","GRwf",20,30,0.634957892583849
"76","GRwf",0,10,2.68427631507545
"77","GRwf",10,20,3.00086163017194
"78","GRwf",20,30,2.88433071010268
"79","GRwf",0,10,1.29597326918515
"80","GRwf",10,20,0.530592333771437
"81","GRwf",20,30,0.647376558462485
