"","Year","pm","eco","lyr_bot","d14c_mean_inc","d14c_mean_bulk","d14c_l_inc","d14c_l_bulk","d14c_u_inc","d14c_u_bulk"
"1","2001","andesite","warm",6,151.1,128.533333333333,140.8,104.423100374415,161.4,152.643566292252
"2","2001","andesite","warm",13,131.85,26.95,127.8,19.3839574413039,135.9,34.5160425586961
"3","2001","andesite","warm",33,17.15,-35.5333333333333,-21.2,-83.886651040946,55.5,12.8199843742794
"4","2001","andesite","cold",11,112.6,55,112.6,53.5857864376269,112.6,56.4142135623731
"5","2001","andesite","cold",32,23.7,-31.2,23.7,-45.2007142674936,23.7,-17.1992857325064
"6","2001","andesite","cool",11,91.3,-27.3,91.3,-46.7584172018178,91.3,-7.84158279818217
"7","2001","andesite","cool",35,78.9,-81.0666666666667,78.9,-92.8022251677919,78.9,-69.3311081655414
"8","2001","basalt","warm",7,120.05,92.2333333333333,114.2,61.1517739558933,125.9,123.314892710773
"9","2001","basalt","warm",18,91.65,48.0333333333333,90.7,18.7952873429917,92.6,77.271379323675
"10","2001","basalt","warm",28,18.65,-4.26666666666667,13.5,-7.91404015087874,23.8,-0.619293182454591
"11","2001","basalt","cold",8,106.8,34.5240900605646,106.2,NA,107.4,NA
"12","2001","basalt","cold",15,118.5,35.9666666666667,94.7,7.92948896752346,142.3,64.0038443658099
"13","2001","basalt","cold",30,107.9,-10.4333333333333,104.7,-52.9177226232047,111.1,32.051055956538
"14","2001","basalt","cool",10,101.25,34.8333333333333,98.3,14.861770216408,104.2,54.8048964502587
"15","2001","basalt","cool",19,97.3,16.9333333333333,95.3,7.59827396912288,99.3,26.2683926975438
"16","2001","granite","warm",7,184.3,163.55,184.3,140.710450967675,184.3,186.389549032325
"17","2001","granite","warm",15,103.05,76,99.4,71.4866863614413,106.7,80.5133136385587
"18","2001","granite","warm",27,1.85,29.6666666666667,-57.2,10.9791485507334,60.9,48.3541847825999
"19","2001","granite","cold",8,77,33.7189519099679,74.2,9.92418426036908,79.8,57.5137195595667
"20","2001","granite","cool",4,166.5,128.166666666667,165.6,96.3128861479695,167.4,160.020447185364
"21","2001","granite","cool",13,103.2,70.9666666666667,94,61.790429238759,112.4,80.1429040945743
"22","2001","granite","cool",28,28.4,24.2,19.5,2.54382305207126,37.3,45.8561769479287
"23","2019","andesite","warm",10,36.65,-3.4,26,-13.8861813831347,47.3,7.08618138313466
"24","2019","andesite","warm",20,38.8,-30.4666666666667,35,-45.7396275234663,42.6,-15.1937058098671
"25","2019","andesite","warm",30,29.05,-23.1,27.2,-32.6388678573508,30.9,-13.5611321426492
"26","2019","andesite","cold",10,62.45,18.8,58.5,-5.45551483683659,66.4,43.0555148368366
"27","2019","andesite","cold",20,38.75,-21.7333333333333,27,-36.0722082310836,50.5,-7.39445843558305
"28","2019","andesite","cold",30,35.2,-38.1,28.6,-53.3915009073668,41.8,-22.8084990926332
"29","2019","andesite","cool",10,68.7,-23.2333333333333,45.7,-52.9611541975227,91.7,6.49448753085604
"30","2019","andesite","cool",20,67.25,-52,65.6,-64.1790804250567,68.9,-39.8209195749433
"31","2019","andesite","cool",30,53.1,-80.6666666666667,44.6,-86.3105424035458,61.6,-75.0227909297875
"32","2019","basalt","warm",10,77.8,53.0666666666667,71.5,49.4056103527959,84.1,56.7277229805375
"33","2019","basalt","warm",20,56.1,32.1333333333333,52.3,29.6008773449037,59.9,34.665789321763
"34","2019","basalt","warm",30,23.95,-22.5333333333333,-3,-63.8390633636007,50.9,18.7723966969341
"35","2019","basalt","cold",10,41.4,35.0333333333333,39.6,4.91086110190231,43.2,65.1558055647643
"36","2019","basalt","cold",20,47.25,20.8666666666667,42.3,6.26381306425959,52.2,35.4695202690737
"37","2019","basalt","cold",30,46,8.2,46,-3.91115188576215,46,20.3111518857621
"38","2019","basalt","cool",10,36.85,0.766666666666667,34.7,-21.0412065293452,39,22.5745398626785
"39","2019","basalt","cool",20,-6.95,-42.6333333333333,-20.9,-73.1243702677069,7,-12.1422963989598
"40","2019","basalt","cool",30,-40.8,-98.2666666666667,-64.5,-121.721801143649,-17.1,-74.8115321896842
"41","2019","granite","warm",10,78.6,76.4333333333333,72.8,56.0705404666038,84.4,96.7961262000629
"42","2019","granite","warm",20,91.2,94.4333333333333,82.6,53.0431976325008,99.8,135.823469034166
"43","2019","granite","warm",30,45.45,28.7666666666667,41.6,1.97481467145489,49.3,55.5585186618784
"44","2019","granite","cold",10,31.55,29.6,6.2,11.6414365830671,56.9,47.5585634169329
"45","2019","granite","cold",20,-23.5,-10.8666666666667,-23.5,-20.7542009059668,-23.5,-0.979132427366489
"46","2019","granite","cold",30,-12.3,-19.2666666666667,-28.9,-24.4669871696101,4.3,-14.0663461637233
"47","2019","granite","cool",10,80.4,11.4,71.2,-1.14551712764364,89.6,23.9455171276436
"48","2019","granite","cool",20,-20.05,-23.7666666666667,-37.1,-67.2437104177468,-3,19.7103770844134
"49","2019","granite","cool",30,20.35,-44.7333333333333,20.1,-86.118636682872,20.6,-3.3480299837947
